Params:lr = 0.07, n_d=16, n_a=16, gamma=1.5, n_steps=3, lambda=0.01, Score: 0.8537
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.5, n_steps=5, lambda=0.001, Score: 0.8550
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.5, n_steps=5, lambda=0.01, Score: 0.8536
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.5, n_steps=7, lambda=0.001, Score: 0.8563
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.5, n_steps=7, lambda=0.01, Score: 0.8515
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.8, n_steps=3, lambda=0.001, Score: 0.8466
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.8, n_steps=3, lambda=0.01, Score: 0.8509
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.8, n_steps=5, lambda=0.001, Score: 0.8551
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.8, n_steps=5, lambda=0.01, Score: 0.8551
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.8, n_steps=7, lambda=0.001, Score: 0.8425
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.8, n_steps=7, lambda=0.01, Score: 0.8491
Params:lr = 0.07, n_d=16, n_a=32, gamma=1.2, n_steps=3, lambda=0.001, Score: 0.8551
Params:lr = 0.07, n_d=16, n_a=32, gamma=1.2, n_steps=3, lambda=0.01, Score: 0.8555
Params:lr = 0.07, n_d=16, n_a=32, gamma=1.2, n_steps=5, lambda=0.001, Score: 0.8537
Params:lr = 0.07, n_d=16, n_a=32, gamma=1.2, n_steps=5, lambda=0.01, Score: 0.8550
Params:lr = 0.07, n_d=16, n_a=32, gamma=1.2, n_steps=7, lambda=0.001, Score: 0.8507
Params:lr = 0.07, n_d=16, n_a=32, gamma=1.2, n_steps=7, lambda=0.01, Score: 0.8530
Params:lr = 0.07, n_d=16, n_a=32, gamma=1.5, n_steps=3, lambda=0.001, Score: 0.8552
Params:lr = 0.07, n_d=16, n_a=32, gamma=1.5, n_steps=3, lambda=0.01, Score: 0.8533
Params:lr = 0.07, n_d=16, n_a=32, gamma=1.5, n_steps=5, lambda=0.001, Score: 0.8510
Params:lr = 0.07, n_d=16, n_a=32, gamma=1.5, n_steps=5, lambda=0.01, Score: 0.8494
Params:lr = 0.07, n_d=16, n_a=32, gamma=1.5, n_steps=7, lambda=0.001, Score: 0.8534
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.2, n_steps=3, lambda=0.001, Score: 0.5079
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.2, n_steps=3, lambda=0.01, Score: 0.4977
